model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,theta,gate_fidelity,similarity,spectrum_diff,train_loss,test_loss,train_fide,test_fide,depth,lambda,H_diff
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,non_product,1.0,0.0,0.0,0.209101330519637,0.4786292127731361,383.8746744002744,0.0014341016964899,0.6942654443431613,0.4471112445153485,0.4683395228481475,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,non_product,1.0,0.0,0.0,0.2116570704416251,0.4738445587987402,384.1957824967483,0.00120180141047,0.6267662622526765,0.4562373542412354,0.5194359204815341,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,non_product,1.0,2.0,0.0,0.3012250839619989,0.5241131835011216,276.0682150436566,0.0009238942634152,0.5798465628794451,0.561659322917158,0.5988894369576678,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,non_product,1.0,2.0,0.0,0.2647290220473567,0.5067509739939258,313.34123499356514,0.0030230836033818,0.5602272258262251,0.4994833560101452,0.5856836534540598,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,product,1.0,-2.0,0.0,0.4755416693471487,0.6036582778848733,170.81584929861717,0.0260581169379332,0.3121964871651448,0.9934231781978988,0.8362005561345569,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,product,1.0,-2.0,0.0,0.6044339679460436,0.6662356103173589,112.47248528449586,0.0213568924432734,0.2678580683566505,0.9935681857444788,0.8770788875762924,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,product,1.0,0.0,0.0,0.7305962685935915,0.729548623497416,73.71476401438468,0.0227008576014691,0.2468821494818712,0.9961627646816282,0.9095908844290652,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,product,1.0,0.0,0.0,0.3257165922703685,0.5314694883892541,289.65005026101227,0.0233304479210059,0.4615141187011969,0.9976298899605884,0.6942730475469453,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,product,1.0,2.0,0.0,0.8583105997757124,0.8068800155989536,26.58386254791978,0.0222614530565876,0.1298963384228141,0.9955990650557182,0.964912519407985,,,
XXZ_inhomo,10.0,1.0,1.0,0.06,multi_mags,product,1.0,2.0,0.0,0.8257230074239075,0.7856638047685606,35.390263178425734,0.0140419211959853,0.159926834561515,0.997056043261876,0.9543404380004984,,,
