length,dot_size,alpha,time_interval,evol_num,sample_num,train_set_type,loss,gate_fidelity,spectrum_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,3.0,0.75,0.1,9.0,1.0,product,multi_mags,0.9501857117860996,0.0213937617314602,0.0344569448225999,0.0928089829695227,0.9965107353063588,0.9861414835009794
10,3.0,0.75,0.1,10.0,1.0,product,multi_mags,0.9395154613720458,0.0559320363930037,0.015957376130012,0.1218953283172488,0.9986122696986732,0.968434925621626
10,3.0,0.75,0.1,20.0,1.0,product,multi_mags,0.9394835761777934,0.0514462688038091,0.0078972766661833,0.1828657040133765,0.9983156980140356,0.9526291707066252
10,3.0,0.75,0.1,30.0,1.0,product,multi_mags,0.685892760930346,0.1687796594993671,0.0243934929259732,0.3239139126139355,0.9989592681724084,0.8319089190716832
10,3.0,0.75,0.1,40.0,1.0,product,multi_mags,0.9493049537450476,0.0317720402061425,0.0077018893435773,0.1161068263780754,0.9997350109647176,0.9737887229009528
10,3.0,0.75,0.1,50.0,1.0,product,multi_mags,0.9719330074668332,0.0217227541914011,0.0083389381542189,0.0536564172585304,0.99967799001985,0.9913287290004584
10,3.0,0.75,0.1,60.0,1.0,product,multi_mags,0.9391818349734856,0.0464088103310613,0.0077954173375643,0.1264113121346365,0.9996736275413594,0.981621179997863
10,3.0,0.75,0.1,70.0,1.0,product,multi_mags,0.9288458141125566,0.0484173848590035,0.0074676903215184,0.1058193980012789,0.999785667108204,0.9739282843422656
10,3.0,0.75,0.1,80.0,1.0,product,multi_mags,0.9571577737475612,0.0257800721967366,0.0074139160952103,0.112870325608703,0.9998408469782504,0.9747456619268744
10,3.0,0.75,0.1,90.0,1.0,product,multi_mags,0.9485878689911929,0.0304979310410843,0.0083703850409337,0.0657154156912949,0.999823973879314,0.9896432897449742
10,3.0,0.75,0.1,100.0,1.0,product,multi_mags,0.9699669232512692,0.0238256061698334,0.0079605784988933,0.068197659362507,0.9998079643172988,0.9902415673107932
10,3.0,0.75,0.12,1.0,1.0,product,multi_mags,0.958380086419354,0.0244588840674774,0.0109484810061904,0.0663148153328663,0.9965911634531888,0.9878557820543404
10,3.0,0.75,0.12,2.0,1.0,product,multi_mags,0.931691939414548,0.0307946727212258,0.0132123092026021,0.113547911327602,0.9968577698161808,0.9729033097463032
10,3.0,0.75,0.12,3.0,1.0,product,multi_mags,0.815196182749146,0.0809103464394739,0.0089794155669688,0.1490779433895194,0.9977286125124932,0.9335155643742594
10,3.0,0.75,0.12,4.0,1.0,product,multi_mags,0.8715093357799809,0.070009016706196,0.0040775796540125,0.135472352074384,0.9993913242005776,0.9715320218762852
10,3.0,0.75,0.12,5.0,1.0,product,multi_mags,0.9385417176529572,0.0286360031935752,0.0158142830908307,0.0693321411426769,0.9982249674414616,0.9873907221889676
10,3.0,0.75,0.12,6.0,1.0,product,multi_mags,0.7414586592342925,0.1123460188164704,0.0074222650052748,0.1972402836203967,0.977492627596524,0.9173815069262332
10,3.0,0.75,0.12,7.0,1.0,product,multi_mags,0.7784924522845714,0.1060023755571864,0.0149985722719252,0.1981542441884612,0.9974821649223208,0.9238339750564266
